date	@prabowo08	@jokowi_do2
201407179	47.7229	52.2771
2014071721	47.6641	52.3360
2014071722	47.6163	52.3837
2014071723	47.6107	52.3893
201407181	47.6147	52.3854
201407182	47.6276	52.3724
2014071814	47.7595	52.2405
201407183	47.7698	52.2302
201407184	47.7790	52.2210
2014071816	47.6987	52.3013
201407185	47.7808	52.2192
201407186	47.7808	52.2192
2014071818	47.7349	52.2651
201407187	47.7970	52.2030
201407188	47.8070	52.1930
2014071820	47.7868	52.2132
2014071810	47.7990	52.2010
2014071822	47.7962	52.2038
2014071812	47.5990	52.4010
2014071824	47.7595	52.2405
